gid,config
140986,def
140987,def
140988,def
140989,def
140990,def
140991,def
140992,def
140993,def
140994,def
140995,def
140996,def
140997,def
140998,def
140999,def
141000,def
141001,def
141002,def
141003,def
141004,def
141005,def
141006,def
141007,def
141008,def
141009,def
141010,def
141011,def
141012,def
141013,def
141014,def
141015,def
141016,def
141017,def
141018,def
141019,def
141020,def
141021,def
141022,def
141023,def
141024,def
141025,def
141026,def
141027,def
141028,def
141029,def
141030,def
141031,def
141032,def
141033,def
141034,def
141035,def
141036,def
141037,def
141038,def
141039,def
141040,def
141041,def
141042,def
141043,def
141044,def
141045,def
141046,def
141047,def
141462,def
141463,def
141464,def
141465,def
141466,def
141467,def
141468,def
141469,def
141470,def
141471,def
141472,def
141473,def
141474,def
141475,def
141476,def
141477,def
141478,def
141479,def
141480,def
141481,def
141482,def
141483,def
141484,def
141485,def
141486,def
141487,def
141488,def
141489,def
141490,def
141491,def
141492,def
141493,def
141494,def
141495,def
141496,def
141497,def
141498,def
141499,def
141500,def
141501,def
141502,def
141503,def
141504,def
141505,def
141506,def
141507,def
141508,def
141509,def
141510,def
141511,def
141512,def
141513,def
141514,def
141515,def
141516,def
141517,def
141518,def
141519,def
141520,def
141521,def
141522,def
141523,def
141938,def
141939,def
141940,def
141941,def
141942,def
141943,def
141944,def
141945,def
141946,def
141947,def
141948,def
141949,def
141950,def
141951,def
141952,def
141953,def
141954,def
141955,def
141956,def
141957,def
141958,def
141959,def
141960,def
141961,def
141962,def
141963,def
141964,def
141965,def
141966,def
141967,def
141968,def
141969,def
141970,def
141971,def
141972,def
141973,def
141974,def
141975,def
141976,def
141977,def
141978,def
141979,def
141980,def
141981,def
141982,def
141983,def
141984,def
141985,def
141986,def
141987,def
141988,def
141989,def
141990,def
141991,def
141992,def
141993,def
141994,def
141995,def
141996,def
141997,def
141998,def
141999,def
142414,def
142415,def
142416,def
142417,def
142418,def
142419,def
142420,def
142421,def
142422,def
142423,def
142424,def
142425,def
142426,def
142427,def
142428,def
142429,def
142430,def
142431,def
142432,def
142433,def
142434,def
142435,def
142436,def
142437,def
142438,def
142439,def
142440,def
142441,def
142442,def
142443,def
142444,def
142445,def
142446,def
142447,def
142448,def
142449,def
142450,def
142451,def
142452,def
142453,def
142454,def
142455,def
142456,def
142457,def
142458,def
142459,def
142460,def
142461,def
142462,def
142463,def
142464,def
142465,def
142466,def
142467,def
142468,def
142469,def
142470,def
142471,def
142472,def
142473,def
142474,def
142475,def
142890,def
142891,def
142892,def
142893,def
142894,def
142895,def
142896,def
142897,def
142898,def
142899,def
142900,def
142901,def
142902,def
142903,def
142904,def
142905,def
142906,def
142907,def
142908,def
142909,def
142910,def
142911,def
142912,def
