gid,config
58243,i_pvwatts
58250,i_pvwatts
59015,i_pvwatts
59539,i_pvwatts
59541,i_pvwatts
59546,i_pvwatts
59551,i_pvwatts
60902,i_pvwatts
61637,i_pvwatts
61644,i_pvwatts
61647,i_pvwatts
61649,i_pvwatts
61654,i_pvwatts
61667,i_pvwatts
61669,i_pvwatts
61672,i_pvwatts
61687,i_pvwatts
61689,i_pvwatts
61702,i_pvwatts
61759,i_pvwatts
61762,i_pvwatts
61772,i_pvwatts
62220,i_pvwatts
62222,i_pvwatts
62225,i_pvwatts
62230,i_pvwatts
62232,i_pvwatts
62260,i_pvwatts
62277,i_pvwatts
62282,i_pvwatts
62292,i_pvwatts
62357,i_pvwatts
62370,i_pvwatts
62815,i_pvwatts
62817,i_pvwatts
62820,i_pvwatts
62825,i_pvwatts
62830,i_pvwatts
62837,i_pvwatts
62867,i_pvwatts
62950,i_pvwatts
63103,i_pvwatts
63260,i_pvwatts
63691,i_pvwatts
63721,i_pvwatts
63724,i_pvwatts
63726,i_pvwatts
63746,i_pvwatts
63751,i_pvwatts
63759,i_pvwatts
63769,i_pvwatts
63834,i_pvwatts
63836,i_pvwatts
63839,i_pvwatts
63841,i_pvwatts
63844,i_pvwatts
63846,i_pvwatts
63861,i_pvwatts
64313,i_pvwatts
64326,i_pvwatts
64343,i_pvwatts
64376,i_pvwatts
64393,i_pvwatts
64398,i_pvwatts
64403,i_pvwatts
64408,i_pvwatts
64413,i_pvwatts
64431,i_pvwatts
64433,i_pvwatts
64438,i_pvwatts
64615,i_pvwatts
64617,i_pvwatts
64657,i_pvwatts
64672,i_pvwatts
64680,i_pvwatts
65231,i_pvwatts
65236,i_pvwatts
65251,i_pvwatts
65256,i_pvwatts
65271,i_pvwatts
65274,i_pvwatts
65276,i_pvwatts
65286,i_pvwatts
65294,i_pvwatts
65309,i_pvwatts
65311,i_pvwatts
65329,i_pvwatts
65334,i_pvwatts
65341,i_pvwatts
65346,i_pvwatts
65354,i_pvwatts
65775,i_pvwatts
65820,i_pvwatts
65823,i_pvwatts
65855,i_pvwatts
65873,i_pvwatts
65875,i_pvwatts
65883,i_pvwatts
65885,i_pvwatts
65900,i_pvwatts
65923,i_pvwatts
65928,i_pvwatts
65950,i_pvwatts
65963,i_pvwatts
66141,i_pvwatts
66183,i_pvwatts
66218,i_pvwatts
